Token,Count,Probability,Positions
00000000010000000000,53,0.04176516942474389,"[(0, 0), (545, 0), (2523, 3)]"
00010000000000000000,50,0.039401103230890466,"[(0, 1)]"
00000000000100000000,46,0.036249014972419225,"[(0, 2), (26, 4), (654, 4), (981, 1)]"
00000000000010000000,46,0.036249014972419225,"[(0, 3), (1172, 4), (2542, 2), (2725, 1)]"
00000000000000010000,44,0.03467297084318361,"[(0, 4), (36, 4), (91, 4), (296, 0), (296, 2), (298, 1), (330, 4), (362, 3), (405, 4), (414, 4), (440, 0), (452, 3), (491, 0), (509, 2), (523, 2), (561, 3), (574, 4), (621, 0), (745, 4), (959, 4), (1016, 3), (1034, 2), (1140, 1), (1140, 2), (1177, 3), (1249, 3), (1358, 2), (1495, 0), (1526, 0), (1526, 4), (1726, 4), (1794, 3), (1904, 3), (1949, 4), (1984, 2), (2210, 0), (2274, 2), (2394, 3), (2451, 3), (2566, 3), (2598, 3), (2837, 2), (2921, 0)]"
01000000000000000000,44,0.03467297084318361,"[(2, 1), (26, 1), (218, 1), (2071, 3), (2071, 4)]"
00000000000001000000,44,0.03467297084318361,"[(2, 2), (138, 4), (198, 2), (268, 3), (291, 2), (295, 0), (329, 0), (380, 3), (402, 4), (405, 1), (437, 1), (439, 3), (547, 1), (612, 0), (635, 1), (1031, 0), (1072, 2), (1116, 3), (1140, 0), (1180, 2), (1277, 1), (1324, 0), (1386, 3), (1561, 2), (1688, 0), (1770, 4), (1869, 0), (1879, 4), (2012, 3), (2057, 1), (2057, 3), (2146, 4), (2254, 4), (2385, 3), (2448, 2), (2489, 0), (2512, 3), (2541, 2), (2560, 4), (2594, 0), (2602, 2), (2812, 4), (2930, 2), (2951, 4)]"
00000000001000000000,43,0.0338849487785658,"[(2, 3), (1358, 1), (1635, 3), (2616, 1), (2834, 3)]"
00000000000000000010,41,0.03230890464933018,"[(2, 4)]"
00100000000000000000,41,0.03230890464933018,"[(3, 0)]"
00000000000000000100,40,0.03152088258471237,"[(3, 1), (90, 2), (135, 3), (184, 4), (187, 3), (296, 1), (328, 3), (402, 1), (512, 1), (571, 3), (636, 2), (704, 4), (945, 0), (959, 1), (1072, 0), (1112, 4), (1290, 2), (1399, 4), (1879, 2), (1934, 1), (1940, 0), (1943, 0), (1944, 3), (1962, 3), (2049, 4), (2188, 2), (2230, 1), (2255, 1), (2305, 1), (2305, 2), (2322, 2), (2525, 4), (2561, 4), (2602, 1), (2603, 4), (2860, 2), (2969, 1)]"
00000000000000001000,40,0.03152088258471237,"[(3, 2)]"
00000100000000000000,37,0.029156816390858944,"[(3, 3), (305, 0), (595, 0), (636, 0), (2106, 3)]"
00000000100000000000,34,0.026792750197005517,"[(3, 4), (1308, 0)]"
