Full Token,Count,"Positions (row, token_index)"
00000000010000000000,53,"[(50, 3), (98, 4), (109, 4), (138, 1), (156, 3), (343, 0), (343, 3), (353, 3), (394, 1), (402, 0), (418, 1), (512, 2), (571, 4), (623, 0), (670, 2), (704, 1), (717, 3), (745, 0), (923, 1), (1016, 2), (1106, 0), (1116, 1), (1264, 4), (1605, 1), (1731, 0), (1834, 3), (1839, 2), (2013, 4), (2053, 0), (2053, 4), (2057, 4), (2162, 0), (2194, 2), (2271, 0), (2271, 1), (2280, 2), (2296, 1), (2323, 3), (2326, 2), (2339, 0), (2394, 4), (2509, 3), (2543, 0), (2557, 1), (2572, 3), (2582, 4), (2666, 4), (2775, 4), (2860, 3), (2884, 2), (2943, 0), (2993, 1), (3038, 1)]"
00010000000000000000,50,"[(26, 0), (75, 4), (89, 0), (109, 1), (135, 0), (160, 3), (226, 1), (268, 0), (293, 3), (307, 3), (345, 2), (393, 1), (438, 1), (462, 1), (495, 0), (501, 3), (596, 0), (611, 0), (623, 3), (723, 3), (816, 4), (872, 1), (874, 0), (888, 1), (959, 0), (961, 1), (969, 1), (973, 1), (1177, 1), (1177, 2), (1408, 0), (1540, 2), (1579, 0), (1835, 2), (1855, 0), (1883, 3), (2012, 0), (2040, 2), (2146, 2), (2274, 4), (2380, 1), (2414, 4), (2560, 1), (2566, 4), (2572, 0), (2599, 1), (2607, 1), (2667, 4), (2776, 2), (2800, 4)]"
00000000000100000000,46,"[(14, 0), (29, 0), (36, 2), (109, 0), (111, 3), (144, 4), (308, 4), (405, 2), (438, 4), (450, 2), (523, 4), (527, 3), (564, 4), (741, 3), (877, 1), (886, 2), (947, 2), (966, 1), (1012, 3), (1116, 4), (1202, 3), (1531, 4), (1612, 3), (1616, 4), (1651, 0), (1835, 4), (1869, 4), (1889, 3), (2012, 2), (2047, 1), (2292, 3), (2303, 4), (2315, 2), (2367, 0), (2494, 0), (2494, 4), (2576, 0), (2585, 1), (2602, 4), (2811, 3), (2820, 3), (2824, 3), (2886, 2), (2943, 2), (2999, 3), (3018, 3)]"
00000000000010000000,46,"[(135, 2), (156, 0), (161, 1), (161, 2), (175, 4), (196, 0), (199, 0), (309, 0), (330, 1), (379, 0), (439, 4), (450, 1), (488, 0), (512, 3), (622, 2), (623, 2), (1031, 1), (1179, 2), (1277, 3), (1309, 1), (1358, 3), (1731, 1), (1830, 3), (1891, 3), (1908, 0), (1944, 4), (1948, 1), (1949, 2), (2058, 2), (2258, 0), (2258, 1), (2258, 4), (2276, 2), (2364, 1), (2380, 4), (2398, 2), (2509, 1), (2558, 1), (2558, 2), (2583, 3), (2605, 1), (2610, 3), (2816, 4), (2930, 3), (2940, 4), (3039, 1)]"
00000000000000010000,44,"[(2, 2), (138, 4), (198, 2), (268, 3), (291, 2), (295, 0), (329, 0), (380, 3), (402, 4), (405, 1), (437, 1), (439, 3), (547, 1), (612, 0), (635, 1), (1031, 0), (1072, 2), (1116, 3), (1140, 0), (1180, 2), (1277, 1), (1324, 0), (1386, 3), (1561, 2), (1688, 0), (1770, 4), (1869, 0), (1879, 4), (2012, 3), (2057, 1), (2057, 3), (2146, 4), (2254, 4), (2385, 3), (2448, 2), (2489, 0), (2512, 3), (2541, 2), (2560, 4), (2594, 0), (2602, 2), (2812, 4), (2930, 2), (2951, 4)]"
01000000000000000000,44,"[(90, 3), (123, 1), (125, 3), (200, 3), (396, 1), (404, 1), (523, 1), (539, 3), (622, 1), (632, 0), (701, 1), (813, 4), (950, 4), (1104, 3), (1225, 4), (1451, 1), (1468, 2), (1509, 1), (1731, 2), (1856, 0), (1900, 1), (1900, 3), (1908, 2), (1918, 2), (2015, 0), (2053, 2), (2206, 4), (2212, 4), (2214, 3), (2272, 4), (2275, 1), (2315, 3), (2367, 1), (2380, 2), (2541, 0), (2541, 4), (2558, 3), (2576, 3), (2666, 3), (2862, 4), (2886, 4), (2903, 4), (2930, 4), (2993, 4)]"
00000000000001000000,44,"[(111, 2), (131, 3), (138, 3), (196, 1), (196, 3), (199, 1), (199, 3), (253, 4), (305, 2), (418, 2), (418, 4), (562, 3), (639, 2), (662, 3), (705, 1), (732, 2), (841, 0), (888, 4), (950, 2), (950, 3), (958, 0), (958, 3), (1142, 3), (1202, 4), (1285, 0), (1394, 0), (1861, 2), (1948, 4), (2057, 0), (2162, 1), (2276, 4), (2292, 1), (2324, 3), (2325, 4), (2339, 3), (2341, 3), (2358, 1), (2598, 2), (2602, 3), (2607, 0), (2651, 3), (2712, 4), (2751, 2), (2920, 4)]"
00000000001000000000,43,"[(0, 4), (36, 4), (91, 4), (296, 0), (296, 2), (298, 1), (330, 4), (362, 3), (405, 4), (414, 4), (440, 0), (452, 3), (491, 0), (509, 2), (523, 2), (561, 3), (574, 4), (621, 0), (745, 4), (959, 4), (1016, 3), (1034, 2), (1140, 1), (1140, 2), (1177, 3), (1249, 3), (1358, 2), (1495, 0), (1526, 0), (1526, 4), (1726, 4), (1794, 3), (1904, 3), (1949, 4), (1984, 2), (2210, 0), (2274, 2), (2394, 3), (2451, 3), (2566, 3), (2598, 3), (2837, 2), (2921, 0)]"
00000000000000000010,41,"[(14, 1), (22, 1), (77, 4), (78, 4), (91, 1), (244, 2), (287, 0), (309, 3), (341, 3), (418, 3), (487, 2), (490, 3), (652, 4), (832, 0), (947, 0), (963, 4), (1159, 0), (1181, 0), (1181, 1), (1205, 3), (1504, 3), (1617, 0), (1861, 3), (1875, 1), (1931, 0), (2013, 1), (2121, 4), (2183, 4), (2266, 3), (2276, 1), (2294, 4), (2303, 1), (2383, 0), (2489, 1), (2593, 0), (2726, 2), (2775, 2), (2821, 1), (2884, 4), (2920, 1), (2996, 0)]"
00100000000000000000,41,"[(47, 2), (78, 2), (112, 2), (143, 3), (265, 4), (305, 1), (308, 1), (330, 2), (623, 4), (785, 1), (958, 1), (962, 1), (1067, 1), (1116, 2), (1290, 3), (1399, 3), (1419, 4), (1443, 3), (1495, 1), (1579, 2), (1839, 3), (1856, 2), (1905, 3), (1905, 4), (2121, 2), (2230, 0), (2230, 3), (2258, 2), (2266, 0), (2290, 0), (2385, 2), (2385, 4), (2484, 2), (2485, 2), (2521, 1), (2602, 0), (2707, 1), (2733, 2), (2929, 2), (3035, 0), (3039, 3)]"
